"","score","review","writer","time"
"80","10","관람객마음의 소리를 들으라고 해놓고 마음의 준비는 할 틈을 안주네... 픽사 나쁜놈들ㅠㅠ  ","shmj****","2019.06.20 19:59"
"81","10","앤디 아이한테 돌아가는 억지막장스토리라도 모른 척 볼테니까 다시 돌아와줘 우디..  ","신예섭(soub****)","2019.06.24 21:17"
"82","10","3이랑 4 울면서 봤습니다 ㅠㅜ  ","없음(kera****)","2019.06.20 12:48"
"83","10","앤디가 우디 얘기를 할 때, 나도 우디도 앤디가 그리웠다 ㅠㅠ  ","크리티컬(jann****)","2019.06.22 00:19"
"84","10","개비가 자신의 주인을 찾았듯이, 우리도 수많은 사람들 중에서 어울리는 사람을 찾을 수 있기를  ","아이언임(0823****)","2019.06.21 23:23"
"85","10","관람객고생 많았어 우디. 행복해야해  ","할배 목소리(tjdg****)","2019.06.20 15:26"
"86","10","관람객5살 김현종입니다.엄마 닮아 토이스토리 덕후인데엄마가 옆에서 울었어요..  ","쩌눼(wjsw****)","2019.06.20 20:34"
"87","10","3편이 역대급엔딩이라 비교될뿐 클라스는 영원하다. 4편을 이정도로 이끌어낸것에 박수받아 마땅하다.  ","뽀뚜(dugh****)","2019.06.22 14:41"
"88","10","모든게 나쁘지 않았어요. 저같은 경우는 오히려 3쪽의 엔딩이 더 마음에 들었었지만 4의 엔딩도 나쁘지 않았어요! 다만 다른 장난감 친구들의 비중이 적어 아쉬웠기도 하네요..ㅠㅠ  ","key포인트(key_****)","2019.06.22 03:07"
"89","10","토이스토리:엔디게임  ","프흐골(123m****)","2019.06.21 08:13"
"90","10","예스 위 캐나다 ㅋㅋㅋㅋ  ","선우(sooj****)","2019.06.21 02:44"
"91","10","전체관람가라고? ㅋㅋ 무서워서 난 좋았지만 애기들 여럿 울듯  ","냥냥이(wgw9****)","2019.06.20 12:47"
"92","10","아니 3보다 더 완벽하면... 어쩌자는거니... 엔딩.. 와...  ","노맨(ganj****)","2019.06.20 13:00"
"93","10","토이스토리 1편에서 앤디의 새장난감인 버즈를 보고 질투했던 우디와 4편에서 보니의 행복을 위해 새장난감 포키를 처음부터 끝까지 지켜주려는 우디.. 나이를 먹은건 우리뿐 아니라 우디도 마찬가지였다 많이 성숙해졌구나  ","현정(wjfj****)","2019.06.24 02:18"
"94","10","관람객소리상자 내어주는 우디의 모습이 잊혀지질 않음ㅜㅜ 해피엔딩인데 왜이렇게 슬픈지 ㅜㅜ 행복해라 얘들아 ㅜㅜㅜㅜ  ","최이랑(chld****)","2019.06.23 13:15"
"95","10","우디를 위한영화 우디의 행복을 위하여  ","애기근창(szx1****)","2019.06.20 17:15"
"96","10","보니,, 토이스토리3 마지막에 앤디가 주기싫어서 망설일때 자기달라는 표정 짓더니 ㅜ 그렇게 옷장에박혀두다니 우리 우디가 그럴취급 받을 애가 아닌데!!! ㅜㅜ엔딩은 정말 이제 더는 토이스토리5는 없을것 같은 엔딩으로 점찍은것 같아 슬픕니다 사랑해우디  ","SUMMER(ssum****)","2019.06.23 12:49"
"97","10","앤디도 자기세상 찾아가고~이젠 우디도 뒤이어 자기세상 찾아가네  ","열혈남아(seun****)","2019.06.20 19:58"
"98","10","우디, 버즈  둘만 봐도 울컥한다 . 이걸 뭐라고  설명해야 할지 ...  ","북방의병기(lchs****)","2019.06.21 09:24"
"99","10","5편은 앤디가 키덜트 취미로 우디 찾아오는 걸로 합시다.  ","ZeroMetal(0met****)","2019.06.21 08:37"
"100","10","만남이 있으면 헤어짐도 있다. 이번 토이스토리4를 통해서 우디와 앤디, 버즈, 제시, 볼스아이 등 장난감 친구들, 보니의 만남과 헤어짐을 모두 볼 수 있었다. 또 헤어짐의 과정에선 우디가 최고의 보안관이라는 사실을 알게 된 영화다.  ","holahola(jeon****)","2019.06.21 02:57"
"101","10","토이스토리3은 우디가 앤디를 보내줬고,토이스토리4는 우리가 우디를 보내줄 차례  ","김민수(msms****)","2019.06.22 16:15"
"102","10","3 만큼은아니여도 여전히 명작은 명작  ","인간(tkek****)","2019.06.20 16:42"
"103","10","토이스토리3가 엔딩인줄 알았는데 4가 진엔딩이었다. 그냥 봐라  ","깜상(khg1****)","2019.06.20 17:32"
"104","10","관람객제시에게 보안관 자리 넘겨줄때 뭉클하고 감동..ㅠㅠ  ","ddd(youn****)","2019.06.24 08:45"
"105","10","관람객우디야 고생 많았어 20대 중후반이 된 나는 너가 그리울 거같다  ","바구(ss00****)","2019.06.20 22:16"
"106","10","123를 영화관에서 못본게 정말 아쉬웠는데... 4가 나와서 드디어 버즈와 우디를 영화관에서 볼 수 있다는게 너무나 좋았다.  ","dmsw****","2019.06.20 17:19"
"107","10","제가 딱 원하는 방향의 결말이라 좋았습니다! 장난감의 시각에서 풀어낸 장난감을 넘어선 '나'의 존재에 대한 이야기가 정말 와닿았고 제 자신에 대해서도 다시 한 번 생가해 볼 수 있는 좋은 영화였습니다!  꼭 보세요  ","꼬미(yhy6****)","2019.06.22 15:36"
"108","10","5편이 만약 나온다면 5편 마지막이나 쿠키영상 아니면 아예 5편자체를 앤디가 어른이 돼서 앤디의 아이랑 만나게되는 스토리도 좋을 것 같다... 그냥 앤디랑 다시 만났으면 좋겠다  ","wooswan(wsw6****)","2019.06.23 14:02"
"109","10","어렸을때 누나와 같이 보던 추억이 벌써 4탄까지 나왔네요. 울면서 영화봤습니다.  ","iq99****","2019.06.20 14:07"
"110","10","이렇게 아름다운 엔딩이있을까...To infinite and beyond  ","최강남자(psn8****)","2019.06.20 13:50"
"111","10","보니가 여자아이라서 카우걸인 제시를 더 찾은것이 아닐까.. 아무리 그래도 우디 너무 안타깝다 보니와 침대에서 잠들 때 그 행복한 웃음. 포키와 앤디 얘기를 할때 그 웃음이 잊혀지지 않는다.. 우디 너의 행복을 찾아 가렴 나는 언제나 너의 편이야.  ","쯩(zofh****)","2019.06.25 23:42"
"112","10","20년넘게 친구들을위해 살아온 착한우디 이제 널위해서 살아 꼭..  ","tama****","2019.06.23 11:18"
"113","10","관람객보니 아빠가 불쌍해 ㅠㅠ  ","은따(kori****)","2019.06.23 09:01"
